epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.204,1.84418,1.22428,1.14533,0.75043,0.43959,0.52569,0.25745,1.73352,0.992,1.08118,0.0670205,0.000333126,0.000333126
2,323.256,1.68164,0.9727,1.08126,0.76484,0.46739,0.547,0.26774,1.65571,0.91104,1.05979,0.0340139,0.000659862,0.000659862
3,481.543,1.62312,0.90925,1.06322,0.75862,0.48048,0.57183,0.28614,1.63892,0.87776,1.05644,0.0010007,0.000979997,0.000979997
4,638.794,1.58767,0.86747,1.05046,0.77916,0.50039,0.59274,0.30194,1.58171,0.84086,1.03982,0.0009703,0.0009703,0.0009703
5,795.693,1.55891,0.83938,1.04255,0.79339,0.50317,0.59117,0.30135,1.57253,0.82093,1.03548,0.0009604,0.0009604,0.0009604
6,953.225,1.54363,0.823,1.03653,0.79813,0.5122,0.60328,0.3077,1.55668,0.81094,1.03395,0.0009505,0.0009505,0.0009505
7,1110.91,1.5284,0.80859,1.02845,0.78919,0.52384,0.61207,0.31175,1.55161,0.79386,1.02588,0.0009406,0.0009406,0.0009406
8,1266.63,1.51403,0.79213,1.02328,0.79688,0.5266,0.61472,0.31495,1.53137,0.77591,1.02318,0.0009307,0.0009307,0.0009307
9,1422.15,1.50446,0.78496,1.01996,0.80323,0.52106,0.61075,0.31373,1.52584,0.77653,1.01739,0.0009208,0.0009208,0.0009208
10,1577.59,1.49596,0.77878,1.0166,0.803,0.53309,0.62068,0.31998,1.51434,0.7704,1.01367,0.0009109,0.0009109,0.0009109
11,1734.39,1.48331,0.76675,1.01196,0.80253,0.53162,0.6251,0.32444,1.50363,0.7528,1.00838,0.000901,0.000901,0.000901
12,1891.78,1.48234,0.76281,1.00968,0.81044,0.53625,0.62817,0.32351,1.51272,0.75016,1.00934,0.0008911,0.0008911,0.0008911
13,2048.45,1.47834,0.75806,1.00856,0.81071,0.5406,0.63211,0.32654,1.49971,0.74412,1.00573,0.0008812,0.0008812,0.0008812
14,2204.65,1.47384,0.75392,1.00422,0.80862,0.5397,0.63402,0.32783,1.49495,0.73457,1.00375,0.0008713,0.0008713,0.0008713
15,2361.57,1.46582,0.74559,1.00307,0.80977,0.54845,0.64092,0.33276,1.48384,0.72648,1.00112,0.0008614,0.0008614,0.0008614
16,2517.29,1.45952,0.74137,1.00121,0.81166,0.54874,0.64231,0.33489,1.47821,0.7201,0.99828,0.0008515,0.0008515,0.0008515
17,2672.62,1.45651,0.73721,1.00059,0.81508,0.54697,0.64307,0.33607,1.47346,0.71583,0.99683,0.0008416,0.0008416,0.0008416
18,2829.28,1.45307,0.73544,0.99619,0.8107,0.55181,0.64597,0.33845,1.469,0.71147,0.99356,0.0008317,0.0008317,0.0008317
19,2985.49,1.44636,0.73115,0.99389,0.80908,0.55457,0.64816,0.33906,1.46421,0.70842,0.99443,0.0008218,0.0008218,0.0008218
20,3141.05,1.44108,0.72689,0.99393,0.80854,0.55541,0.6488,0.34031,1.45649,0.7055,0.99085,0.0008119,0.0008119,0.0008119
21,3296.35,1.43754,0.72337,0.99039,0.81535,0.55557,0.65128,0.34179,1.45709,0.70179,0.9901,0.000802,0.000802,0.000802
22,3451.87,1.43666,0.72319,0.98914,0.82051,0.55458,0.65193,0.34291,1.45592,0.6983,0.98926,0.0007921,0.0007921,0.0007921
23,3607.17,1.43264,0.72005,0.98935,0.81697,0.55683,0.65448,0.34397,1.455,0.69439,0.98815,0.0007822,0.0007822,0.0007822
24,3762.49,1.43285,0.71678,0.98795,0.81919,0.55781,0.65475,0.34483,1.44995,0.69282,0.98746,0.0007723,0.0007723,0.0007723
25,3917.83,1.42675,0.71359,0.98764,0.82162,0.55791,0.65612,0.3458,1.44799,0.69078,0.98673,0.0007624,0.0007624,0.0007624
26,4072.91,1.4222,0.71074,0.98429,0.8165,0.56209,0.6584,0.34723,1.44495,0.6884,0.98581,0.0007525,0.0007525,0.0007525
27,4227.49,1.42474,0.70959,0.98258,0.81952,0.56307,0.65935,0.34683,1.44671,0.68755,0.98487,0.0007426,0.0007426,0.0007426
28,4382.26,1.41731,0.70593,0.98421,0.81771,0.56287,0.65875,0.34658,1.44817,0.68689,0.9854,0.0007327,0.0007327,0.0007327
29,4537.18,1.41485,0.70539,0.98132,0.82108,0.56113,0.65971,0.34696,1.44748,0.68515,0.98501,0.0007228,0.0007228,0.0007228
30,4691.99,1.4139,0.70406,0.98127,0.81876,0.564,0.66046,0.3477,1.44632,0.68381,0.98501,0.0007129,0.0007129,0.0007129
31,4846.8,1.40679,0.69735,0.9807,0.82101,0.56431,0.6606,0.34834,1.44511,0.68306,0.98519,0.000703,0.000703,0.000703
32,5002.88,1.41067,0.69678,0.97985,0.82342,0.56377,0.66087,0.34837,1.44455,0.68261,0.98502,0.0006931,0.0006931,0.0006931
33,5158.87,1.40322,0.69601,0.97742,0.82345,0.56411,0.66152,0.34898,1.44357,0.6819,0.98468,0.0006832,0.0006832,0.0006832
34,5315.03,1.40282,0.69437,0.9783,0.82395,0.56353,0.66174,0.34925,1.44282,0.68133,0.9846,0.0006733,0.0006733,0.0006733
35,5471.47,1.40147,0.69324,0.97595,0.82138,0.5651,0.66215,0.34921,1.44284,0.68122,0.98441,0.0006634,0.0006634,0.0006634
36,5627.91,1.39809,0.69218,0.97399,0.81939,0.56604,0.66291,0.34946,1.44273,0.68076,0.98437,0.0006535,0.0006535,0.0006535
37,5783.81,1.40042,0.69235,0.97639,0.81765,0.56751,0.66316,0.34941,1.44222,0.68045,0.9842,0.0006436,0.0006436,0.0006436
38,5939.92,1.39514,0.68856,0.97303,0.82085,0.56692,0.66364,0.34964,1.44157,0.67985,0.98387,0.0006337,0.0006337,0.0006337
39,6096.25,1.39086,0.68606,0.97194,0.82145,0.56675,0.66362,0.34978,1.44128,0.67977,0.98369,0.0006238,0.0006238,0.0006238
40,6252.38,1.39191,0.68633,0.97187,0.82199,0.5664,0.66325,0.35008,1.44082,0.67928,0.98354,0.0006139,0.0006139,0.0006139
41,6408.51,1.38826,0.68537,0.97048,0.82242,0.56678,0.66384,0.34989,1.44068,0.67906,0.98338,0.000604,0.000604,0.000604
42,6564.73,1.38495,0.68171,0.97032,0.82194,0.56814,0.66437,0.35002,1.44066,0.6786,0.9834,0.0005941,0.0005941,0.0005941
43,6720.83,1.38381,0.67857,0.96927,0.81981,0.56884,0.6643,0.35021,1.44065,0.67812,0.98344,0.0005842,0.0005842,0.0005842
44,6877.46,1.38511,0.6789,0.96994,0.82198,0.56772,0.66442,0.35043,1.4403,0.67772,0.98337,0.0005743,0.0005743,0.0005743
45,7033.61,1.37998,0.67685,0.96815,0.82429,0.56655,0.66447,0.35043,1.44001,0.67735,0.98341,0.0005644,0.0005644,0.0005644
46,7204.97,1.37598,0.67441,0.96652,0.82454,0.56687,0.66459,0.35041,1.43993,0.67704,0.98339,0.0005545,0.0005545,0.0005545
47,7364.05,1.37856,0.67501,0.96632,0.82531,0.56666,0.66476,0.3505,1.43995,0.67684,0.98334,0.0005446,0.0005446,0.0005446
48,7523.08,1.37745,0.67287,0.96655,0.82492,0.56705,0.66503,0.35072,1.4399,0.67668,0.98335,0.0005347,0.0005347,0.0005347
49,7680.51,1.36956,0.67105,0.96396,0.82278,0.5679,0.66506,0.35077,1.43976,0.67623,0.98334,0.0005248,0.0005248,0.0005248
50,7843.32,1.37074,0.67036,0.96511,0.82406,0.5675,0.66527,0.35091,1.43955,0.67598,0.98334,0.0005149,0.0005149,0.0005149
51,8002.47,1.37247,0.67346,0.96582,0.82585,0.56664,0.66515,0.35102,1.43933,0.67582,0.98338,0.000505,0.000505,0.000505
52,8163.81,1.37261,0.67223,0.96492,0.82452,0.56716,0.66508,0.35111,1.43934,0.67554,0.98338,0.0004951,0.0004951,0.0004951
53,8322.47,1.36715,0.66802,0.96099,0.82724,0.56632,0.66573,0.35156,1.43924,0.6753,0.98335,0.0004852,0.0004852,0.0004852
54,8480.59,1.36563,0.66559,0.96271,0.82577,0.56713,0.66567,0.35162,1.43896,0.675,0.98326,0.0004753,0.0004753,0.0004753
55,8638.63,1.36592,0.66707,0.96213,0.82424,0.56688,0.66528,0.35168,1.43874,0.6748,0.98317,0.0004654,0.0004654,0.0004654
56,8796.49,1.36302,0.66403,0.96094,0.82397,0.56728,0.66536,0.3518,1.43866,0.67451,0.9831,0.0004555,0.0004555,0.0004555
57,8955.32,1.36219,0.66461,0.96096,0.82368,0.56685,0.6653,0.35186,1.43872,0.67421,0.98305,0.0004456,0.0004456,0.0004456
58,9114.52,1.35781,0.66397,0.96001,0.8234,0.56709,0.66549,0.35197,1.43864,0.67425,0.98306,0.0004357,0.0004357,0.0004357
59,9272.57,1.3619,0.66238,0.95976,0.82343,0.56643,0.66518,0.35193,1.43864,0.67405,0.98306,0.0004258,0.0004258,0.0004258
60,9430.54,1.35448,0.65919,0.95803,0.82404,0.56604,0.6652,0.35201,1.43855,0.67384,0.983,0.0004159,0.0004159,0.0004159
61,9588.32,1.35658,0.6593,0.95778,0.82528,0.56569,0.66541,0.35203,1.43865,0.67356,0.98298,0.000406,0.000406,0.000406
62,9745.86,1.3544,0.65827,0.95756,0.82507,0.56629,0.6657,0.35224,1.43847,0.67349,0.98296,0.0003961,0.0003961,0.0003961
63,9903.62,1.35117,0.65811,0.95794,0.82462,0.56662,0.66604,0.35224,1.43847,0.67346,0.98297,0.0003862,0.0003862,0.0003862
64,10061.3,1.35004,0.656,0.95619,0.82495,0.56676,0.66601,0.35228,1.43852,0.67323,0.9829,0.0003763,0.0003763,0.0003763
65,10219.5,1.34926,0.65582,0.95464,0.82397,0.56702,0.66633,0.35232,1.43859,0.67304,0.98288,0.0003664,0.0003664,0.0003664
66,10377.5,1.3471,0.65513,0.9554,0.82491,0.56688,0.66636,0.35223,1.43857,0.67292,0.98286,0.0003565,0.0003565,0.0003565
67,10535.6,1.34597,0.65381,0.95498,0.8258,0.56692,0.66646,0.35233,1.4386,0.67274,0.98279,0.0003466,0.0003466,0.0003466
68,10695,1.3416,0.65088,0.95517,0.82572,0.56711,0.66658,0.35238,1.43869,0.67273,0.98279,0.0003367,0.0003367,0.0003367
69,10853.1,1.34388,0.65143,0.95431,0.82549,0.56704,0.66646,0.3524,1.43875,0.67243,0.98281,0.0003268,0.0003268,0.0003268
